iter	MultiClass
0	0.8457153795
1	0.6852803472
2	0.5717331386
3	0.4883085169
4	0.4240042524
5	0.3746243963
6	0.3360592837
7	0.3038463525
8	0.2779142434
9	0.256708476
10	0.2396798733
11	0.2265797645
12	0.2146833383
13	0.2053635071
14	0.1970078173
15	0.19016488
16	0.1846461798
17	0.1800325594
18	0.175678543
19	0.1720772676
20	0.1688069994
21	0.1661422026
22	0.164075373
23	0.1616847825
24	0.160079466
25	0.158625289
26	0.1572349208
27	0.1561435897
28	0.1555624202
29	0.1545759016
30	0.1538510217
31	0.1530816796
32	0.1524098262
33	0.1516661852
34	0.1508338522
35	0.1502946087
36	0.1492073528
37	0.1486587037
38	0.1482565854
39	0.147964383
40	0.1476167614
41	0.1472628548
42	0.1466893281
43	0.1463892918
44	0.1459578693
45	0.1452543494
46	0.1450710037
47	0.1448187641
48	0.1444876611
49	0.144125317
50	0.1437252272
51	0.1432552509
52	0.1429617869
53	0.1426931611
54	0.1426107437
55	0.1422403181
56	0.1420201064
57	0.1416097893
58	0.1412291214
59	0.1409362458
60	0.1407316927
61	0.1404880718
62	0.1401235521
63	0.1398636176
64	0.1397278649
65	0.1394471034
66	0.1391830727
67	0.1388701825
68	0.1386278046
69	0.1383924285
70	0.1380960843
71	0.1377940309
72	0.1376303474
73	0.1373865674
74	0.1371553074
75	0.1368246827
76	0.1366281846
77	0.1363805835
78	0.1362247699
79	0.1356855707
80	0.1354579853
81	0.1350446266
82	0.1349707084
83	0.1345811749
84	0.1344185349
85	0.1342627599
86	0.1337785362
87	0.1335971872
88	0.1334699615
89	0.1332644008
90	0.1324119494
91	0.1320499981
92	0.1314081519
93	0.131075642
94	0.1308250373
95	0.1305132972
96	0.1301801587
97	0.1300261697
98	0.1298954671
99	0.1295864079
100	0.1293035187
101	0.129158301
102	0.1289426612
103	0.1282589318
104	0.1277390402
105	0.1274129956
106	0.126967062
107	0.1265775617
108	0.1261643207
109	0.1259141199
110	0.1257358846
111	0.1254710979
112	0.1252337485
113	0.1250750049
114	0.1246578533
115	0.1243750608
116	0.1242461679
117	0.1239755506
118	0.1237722578
119	0.123509347
120	0.1231988277
121	0.1229038493
122	0.1228157729
123	0.1227039171
124	0.1225221189
125	0.1223066874
126	0.1220971529
127	0.1219656152
128	0.1215177741
129	0.1211855289
130	0.1209054163
131	0.1206776552
132	0.120492668
133	0.1202005855
134	0.1200683021
135	0.1199149729
136	0.1196439197
137	0.1192515643
138	0.1189245335
139	0.1187214482
140	0.1183739639
141	0.1179735847
142	0.1178254377
143	0.1175725078
144	0.1175008296
145	0.1172397173
146	0.1171453397
147	0.1169798802
148	0.116694802
149	0.1163365961
150	0.1158442802
151	0.1156378686
152	0.1153119407
153	0.1150005862
154	0.1148169426
155	0.1143040594
156	0.1141383778
157	0.1139359443
158	0.1138685536
159	0.1136620011
160	0.1135405903
161	0.113392567
162	0.1131425684
163	0.1130412473
164	0.1128810098
165	0.1125179763
166	0.1124281725
167	0.1121818679
168	0.111853863
169	0.1115050076
