iter	Passed	Remaining
0	63	31484
1	65	16387
2	68	11384
3	70	8780
4	73	7291
5	75	6242
6	78	5513
7	80	4960
8	83	4582
9	86	4220
10	88	3947
11	91	3713
12	93	3497
13	96	3334
14	98	3188
15	101	3067
16	104	2975
17	107	2866
18	109	2763
19	112	2692
20	115	2627
21	117	2557
22	119	2482
23	121	2414
24	124	2356
25	126	2299
26	129	2262
27	132	2231
28	134	2186
29	136	2141
30	138	2102
31	141	2063
32	143	2032
33	146	2011
34	149	1989
35	151	1956
36	153	1925
37	156	1897
38	158	1869
39	160	1851
40	163	1833
41	165	1807
42	167	1784
43	170	1761
44	172	1742
45	174	1722
46	177	1712
47	183	1724
48	185	1709
49	188	1696
50	191	1687
51	194	1675
52	197	1662
53	199	1645
54	201	1627
55	203	1612
56	205	1597
57	207	1582
58	210	1572
59	213	1562
60	215	1549
61	217	1535
62	219	1522
63	221	1510
64	223	1498
65	226	1490
66	229	1482
67	231	1470
68	233	1458
69	235	1446
70	237	1435
71	239	1424
72	242	1418
73	244	1409
74	247	1400
75	249	1390
76	251	1380
77	253	1370
78	255	1361
79	257	1354
80	260	1346
81	262	1338
82	264	1329
83	266	1320
84	268	1311
85	270	1302
86	272	1294
87	274	1287
88	276	1279
89	279	1271
90	281	1264
91	283	1256
92	285	1249
93	287	1242
94	289	1235
95	292	1229
96	294	1223
97	296	1215
98	298	1208
99	300	1201
100	302	1195
101	305	1190
102	307	1184
103	310	1181
104	312	1175
105	314	1169
106	316	1163
107	318	1156
108	320	1150
109	322	1144
110	324	1138
111	327	1132
112	329	1126
113	331	1120
114	333	1115
115	335	1109
116	337	1103
117	339	1098
118	341	1093
119	343	1088
120	345	1083
121	347	1078
122	349	1072
123	351	1066
124	353	1061
125	355	1056
126	358	1051
127	360	1047
128	362	1042
129	364	1038
130	366	1033
131	369	1029
132	371	1024
133	373	1020
134	375	1015
135	377	1010
136	379	1006
137	381	1001
138	384	999
139	386	994
140	389	991
141	391	987
142	393	983
143	395	978
144	397	974
145	400	971
146	403	968
147	405	964
148	408	961
149	410	958
150	412	954
151	414	950
152	417	946
153	419	941
154	421	937
155	424	935
156	426	930
157	428	926
158	430	922
159	432	918
160	434	914
161	436	910
162	438	907
163	440	903
164	442	899
165	444	895
166	446	891
167	449	887
168	451	883
169	453	880
170	455	876
171	457	873
172	459	869
173	462	865
174	463	861
175	466	858
176	468	854
177	470	850
178	472	847
179	474	843
180	476	840
181	478	836
182	480	833
183	483	829
184	485	825
185	487	822
186	489	819
187	491	815
188	493	812
189	495	808
190	497	805
191	499	801
192	501	798
193	504	795
194	506	792
195	508	788
196	510	785
197	512	781
198	514	778
199	516	775
200	518	771
201	521	769
202	523	766
203	526	763
204	528	760
205	530	757
206	532	753
207	534	750
208	537	747
209	539	744
210	541	741
211	543	738
212	545	735
213	547	732
214	549	729
215	552	725
216	554	722
217	556	719
218	558	716
219	560	713
220	562	710
221	564	707
222	567	704
223	569	701
224	571	698
225	573	695
226	575	692
227	577	689
228	579	686
229	582	683
230	584	680
231	586	677
232	588	674
233	591	672
234	593	668
235	595	665
236	597	662
237	599	659
238	601	656
239	604	654
240	606	651
241	608	648
242	610	646
243	613	643
244	615	640
245	617	637
246	619	634
247	621	631
248	623	628
249	625	625
250	628	622
251	630	620
252	632	617
253	634	614
254	636	611
255	638	608
256	640	605
257	642	603
258	644	600
259	646	597
260	648	594
261	651	591
262	653	588
263	655	585
264	657	583
265	659	580
266	661	577
267	663	574
268	665	571
269	668	569
270	670	566
271	672	563
272	674	560
273	676	558
274	679	555
275	681	552
276	683	550
277	685	547
278	687	544
279	689	542
280	691	539
281	694	536
282	696	533
283	698	531
284	700	528
285	702	525
286	704	523
287	706	520
288	708	517
289	710	514
290	712	512
291	715	509
292	717	506
293	719	504
294	722	501
295	724	499
296	726	496
297	728	493
