policy_year,exposure,insured_birth_year,vehicle_age,policy_holder_age,driver_license_age,vehicle_brand,vehicle_model,mileage,vehicle_power,catalog_value,claim_responsibility_rate,driving_training_label,number_of_liability_claims
1,0.3863013699,1945,10,9,40,MERCEDES,ME-1245,30000,75,983732,0,No,0
1,0.2547945205,1937,1,10,42,OPEL,OP-2246,30000,55,665610,0,No,0
1,0.2684931507,1935,6,28,42,RENAULT,RE-1406,30000,48,423403,0,No,0
1,0.2547945205,1942,3,1,37,OPEL,OP-1496,30000,51,519417,0,No,0
1,0.2712328767,1930,2,9,41,RENAULT,RE-2732,30000,78,832471,100,No,0
1,0.2630136986,1941,1,10,19,FIAT,FI-2513,30000,55,513084,0,No,0
1,0.2520547945,1946,4,8,42,OPEL,OP-1450,30000,66,437238,100,No,1
1,0.2684931507,1932,11,10,57,OPEL,OP-2387,30000,96,0,50,No,1
1,0.2575342466,1943,6,9,20,TOYOTA,TO-1100,30000,85,754791,100,No,1
1,0.2684931507,1938,6,8,42,VOLKSWAGEN,VO-2418,30000,74,0,100,No,1
1,0.2739726027,1941,3,2,41,MERCEDES,ME-182,30000,90,1248482,0,No,0
1,0.2082191781,1930,2,2,41,PEUGEOT,PE-429,30000,66,651776,100,No,0
1,0.2767123288,1945,11,15,44,FORD,FO-1749,30000,44,0,100,No,1
1,0.2465753425,1932,4,13,20,PEUGEOT,PE-429,30000,80,607433,100,No,0
1,0.2739726027,1922,4,13,41,NISSAN,NI-2258,30000,59,358725,100,No,1
1,0.2794520548,1937,7,30,14,CITROEN,CI-3212,30000,51,0,0,No,0
1,0.2767123288,1924,3,14,20,CITROEN,CI-1243,30000,44,397399,0,No,0
1,0.2849315068,1933,12,8,19,FORD,FO-1673,30000,51,0,100,No,1
1,0.2739726027,1939,9,8,50,OPEL,OP-2387,30000,74,842149,0,No,0
1,0.2575342466,1934,12,12,41,CITROEN,CI-3265,30000,50,424799,0,No,0
1,0.2602739726,1939,7,2,19,RENAULT,RE-2214,30000,79,542411,100,No,1
1,0.2191780822,1946,4,0,10,KIA,KI-2449,30000,48,0,0,No,0
1,0.2547945205,1943,7,26,41,OPEL,OP-2387,30000,110,0,0,No,0
1,0.2547945205,1929,7,7,40,SKODA,SK-1735,30000,74,0,0,No,0
1,0.2520547945,1931,1,13,39,RENAULT,RE-3038,30000,43,323386,100,No,0
1,0.2520547945,1945,12,12,20,VOLKSWAGEN,VO-1852,30000,44,0,0,No,0
1,0.2547945205,1939,17,9,50,AUDI,AU-806,30000,66,0,100,No,1
1,0.2136986301,1945,1,25,42,HYUNDAI,HY-1976,30000,55,426673,0,No,0
1,0.2575342466,1938,8,1,51,FIAT,FI-1590,30000,46,0,0,No,0
1,0.2547945205,1940,9,12,20,RENAULT,RE-2214,30000,72,665290,0,No,0
1,0.2547945205,1943,7,22,40,HONDA,HO-2022,30000,61,0,50,No,1
1,0.2602739726,1948,13,8,39,RENAULT,RE-1406,30000,43,351405,100,No,1
1,0.2438356164,1934,11,7,20,FORD,FO-1673,30000,66,0,100,No,0
1,0.2575342466,1933,12,11,56,OPEL,OP-1496,30000,44,0,100,No,1
1,0.2273972603,1947,1,1,42,KIA,KI-1318,30000,85,723119,0,No,0
1,0.2547945205,1940,7,13,39,FORD,FO-1785,30000,66,615101,100,No,1
1,0.2547945205,1946,3,8,43,VOLKSWAGEN,VO-1803,30000,40,335844,100,No,0
1,0.2657534247,1948,6,6,33,PEUGEOT,PE-429,30000,66,625436,0,No,0
1,0.2520547945,1920,7,11,42,OPEL,OP-1043,30000,66,625269,0,No,0
1,0.2602739726,1935,5,6,39,PEUGEOT,PE-225,30000,44,404408,0,No,0
1,0.2657534247,1947,5,2,37,PEUGEOT,PE-429,30000,80,630770,0,No,0
1,0.2657534247,1947,11,11,25,FORD,FO-1673,30000,66,0,100,No,1
1,0.2657534247,1936,9,10,42,TOYOTA,TO-1100,30000,81,629753,0,No,0
1,0.2383561644,1929,2,10,42,SKODA,SK-1735,30000,51,360558,100,No,0
1,0.2657534247,1930,22,26,20,TOYOTA,TO-2896,30000,40,0,100,No,1
1,0.2547945205,1929,2,8,42,KIA,KI-2449,30000,55,0,100,No,1
1,0.2109589041,1948,3,3,42,MERCEDES,ME-1353,30000,90,1066589,100,No,0
1,0.202739726,1935,3,8,41,PEUGEOT,PE-225,30000,55,448379,0,No,0
1,0.301369863,1933,5,8,41,PEUGEOT,PE-576,30000,98,1068509,0,No,0
1,0.301369863,1947,5,9,34,CITROEN,CI-1263,30000,80,847140,0,No,0
1,0.2739726027,1946,2,1,42,FORD,FO-1785,30000,66,673444,100,No,1
1,0.2931506849,1933,9,8,56,TOYOTA,TO-1100,30000,81,639670,0,No,0
1,0.2931506849,1925,12,11,42,RENAULT,RE-3038,30000,43,0,0,No,0
1,0.2520547945,1947,14,16,42,OPEL,OP-1043,30000,50,0,100,No,0
1,0.2931506849,1937,10,10,40,MAZDA,MA-488,30000,54,0,100,No,1
1,0.301369863,1940,2,2,49,KIA,KI-1318,30000,85,645440,50,No,1
1,0.295890411,1945,15,4,40,FORD,FO-1749,30000,43,0,0,No,0
1,0.2931506849,1928,7,2,42,MERCEDES,ME-270,30000,110,1512750,0,No,0
1,0.2273972603,1949,3,10,41,SAAB,SA-855,30000,110,1315217,0,No,0
1,0.2876712329,1948,9,10,41,RENAULT,RE-2732,30000,72,744394,0,No,0
1,0.304109589,1946,6,4,40,OPEL,OP-2246,30000,74,581904,100,No,0
1,0.2054794521,1946,11,5,41,OPEL,OP-3074,30000,74,725716,0,No,0
1,0.2493150685,1936,9,13,41,CITROEN,CI-2719,30000,44,275925,100,No,1
1,0.2767123288,1931,10,15,58,OPEL,OP-1496,30000,49,381000,100,No,1
1,0.2794520548,1930,5,22,59,FORD,FO-1749,30000,51,0,100,No,1
1,0.2931506849,1928,11,6,25,TOYOTA,TO-2896,30000,55,367727,100,No,1
1,0.2575342466,1948,2,8,40,TOYOTA,TO-1471,30000,100,972560,0,No,0
1,0.2876712329,1949,1,1,38,BMW,BM-677,30000,120,1524417,50,No,1
1,0.2657534247,1949,2,16,36,FIAT,FI-2513,30000,44,385763,0,No,0
1,0.2547945205,1922,8,8,37,TOYOTA,TO-3230,30000,50,0,100,No,1
1,0.2356164384,1938,9,13,57,FIAT,FI-2513,30000,44,0,100,No,1
1,0.2931506849,1932,3,6,19,PEUGEOT,PE-225,30000,55,385025,100,No,1
1,0.2657534247,1933,5,5,41,RENAULT,RE-3038,30000,43,337389,100,No,0
1,0.2904109589,1947,6,6,39,RENAULT,RE-2732,30000,75,745122,0,No,0
1,0.2767123288,1936,1,6,42,MERCEDES,ME-182,30000,100,1233193,100,No,0
1,0.2876712329,1946,8,17,43,AUDI,AU-944,30000,55,738961,0,No,0
1,0.2876712329,1944,5,9,18,OPEL,OP-2246,30000,55,580095,0,No,0
1,0.2712328767,1926,6,13,20,DAEWOO,DA-2060,30000,61,0,100,No,1
1,0.2657534247,1944,3,15,16,CITROEN,CI-1158,30000,55,0,100,No,1
1,0.2684931507,1941,7,7,20,ALFA ROMEO,AL-119,30000,85,757125,0,No,0
1,0.2849315068,1944,12,13,45,HONDA,HO-1348,30000,63,535456,0,No,0
1,0.2849315068,1934,10,6,35,FORD,FO-1749,30000,44,352975,0,No,0
1,0.2109589041,1949,8,11,40,LANCIA,LA-2170,30000,77,0,0,No,0
1,0.2904109589,1939,2,13,40,VOLKSWAGEN,VO-1803,30000,40,325920,0,No,0
1,0.2739726027,1949,1,1,34,CITROEN,CI-1262,30000,80,945156,0,No,0
1,0.2849315068,1943,1,9,33,RENAULT,RE-1406,30000,50,0,0,No,0
1,0.2739726027,1944,2,3,33,SUZUKI,SU-2935,30000,68,427036,100,No,0
1,0.2410958904,1947,2,2,40,HONDA,HO-1804,30000,103,1001037,100,No,0
1,0.2849315068,1942,15,8,47,FORD,FO-1673,30000,43,0,100,No,1
1,0.2931506849,1931,8,12,32,SUZUKI,SU-2935,30000,63,0,0,No,0
1,0.2876712329,1935,2,1,41,TOYOTA,TO-1471,30000,66,613723,100,No,1
1,0.295890411,1947,6,7,40,VOLKSWAGEN,VO-2167,30000,55,0,0,No,0
1,0.2054794521,1949,3,3,33,MITSUBISHI,MI-1932,30000,100,1038171,100,No,1
1,0.2356164384,1935,11,3,35,VOLKSWAGEN,VO-1852,30000,66,0,100,No,1
1,0.2547945205,1947,3,3,37,VOLKSWAGEN,VO-1852,30000,66,670612,100,No,0
1,0.202739726,1946,12,11,31,MERCEDES,ME-270,30000,70,945265,100,No,1
1,0.2273972603,1945,4,7,41,CITROEN,CI-3212,30000,80,685780,100,No,1
1,0.2493150685,1931,6,7,39,MERCEDES-BENZ,ME-1361,30000,60,702117,0,No,0
1,0.2054794521,1945,2,15,35,VOLKSWAGEN,VO-1803,30000,40,0,0,No,0
1,0.2054794521,1949,1,21,37,PEUGEOT,PE-431,30000,88,700116,100,No,0
1,0.2054794521,1946,8,4,20,RENAULT,RE-2214,30000,72,0,0,No,0
1,0.2054794521,1948,4,8,16,PEUGEOT,PE-600,30000,80,839138,0,No,0
1,0.202739726,1944,9,8,45,NISSAN,NI-1013,30000,73,446075,0,No,0
1,0.2109589041,1943,9,2,44,OPEL,OP-1496,30000,48,0,0,No,0
1,0.2054794521,1945,18,30,40,TOYOTA,TO-1471,30000,55,0,0,No,0
1,0.2054794521,1924,11,11,41,HONDA,HO-983,30000,96,640491,100,No,1
1,0.2109589041,1949,2,9,37,PEUGEOT,PE-2413,30000,55,612434,100,No,0
1,0.2082191781,1949,1,1,16,AUDI,AU-953,30000,120,1434087,100,No,0
1,0.202739726,1935,6,6,42,PEUGEOT,PE-576,30000,85,693948,0,No,0
1,0.2082191781,1938,3,12,30,FORD,FO-1785,30000,66,493414,100,No,0
1,0.2164383562,1947,2,17,29,RENAULT,RE-1406,30000,47,440406,100,No,1
1,0.2164383562,1948,4,5,20,VOLKSWAGEN,VO-1803,30000,40,302822,0,No,0
1,0.2164383562,1930,12,10,19,HONDA,HO-983,30000,85,573001,0,No,0
1,0.2054794521,1942,4,5,39,FIAT,FI-2513,30000,44,393064,0,No,0
1,0.2109589041,1948,3,6,32,PEUGEOT,PE-225,30000,65,386618,100,No,0
1,0.2164383562,1940,2,2,42,NISSAN,NI-2525,30000,78,800132,0,No,0
1,0.2109589041,1947,17,3,39,OPEL,OP-3074,30000,65,0,0,No,0
1,0.5369863014,1924,13,22,42,CITROEN,CI-3149,30000,74,643619,100,No,0
1,0.9479452055,1936,5,4,19,KIA,KI-2800,30000,75,0,0,No,0
1,0.3534246575,1920,20,13,20,AUDI,AU-1094,30000,55,0,100,No,1
1,0.495890411,1934,16,12,20,MERCEDES,ME-.,30000,83,0,100,No,1
1,0.8164383562,1937,10,9,42,MERCEDES,ME-270,30000,92,0,100,No,1
1,0.8246575342,1949,8,5,40,MERCEDES,ME-182,30000,85,1222302,100,No,1
1,0.5561643836,1934,2,15,20,MERCEDES,ME-144,30000,80,940123,0,No,0
1,0.3342465753,1945,10,4,40,PEUGEOT,PE-225,30000,55,0,100,No,1
1,0.3205479452,1946,4,4,41,ALFA ROMEO,AL-1940,30000,110,1024636,0,No,0
1,0.7671232877,1947,2,0,41,DACIA,DA-19,30000,64,336089,100,No,0
1,0.3479452055,1945,13,0,42,MERCEDES,ME-270,30000,70,0,0,No,0
1,0.8246575342,1948,15,1,40,RENAULT,RE-2086,30000,83,0,0,No,0
1,0.7178082192,1943,0,0,46,MERCEDES,ME-182,30000,100,1271234,0,No,0
1,0.9315068493,1940,7,2,45,MERCEDES,ME-270,30000,100,0,50,No,0
1,0.4246575342,1946,2,27,40,MINI,MI-2273,30000,80,845123,0,No,0
