"Policy_ID","Total_Distance","Drive_Score","Time_Day","Style_Score","Corner_Score","Acceleration_Score","Braking_Score","Total_Night_Time","Total_Time","Acceleration","Brake","Corner","Insured_Gender","Insured_Age","Claim"
"1",3649,67,109,85,86,88,84,34,79,"Low","Low","High","M",21,"no"
"2",9066,63,116,92,93,80,93,28,339,"High","High","High","F",20,"no"
"3",27156,74,73,55,61,49,64,24,464,"Low","High","High","F",30,"no"
"4",8558,77,108,74,67,91,82,25,437,"High","High","High","M",52,"no"
"5",17853,68,106,65,61,89,72,38,649,"High","High","High","M",21,"no"
"6",10196,84,63,32,32,40,46,20,437,"Low","Low","Low","M",34,"no"
"7",7357,71,108,91,92,94,90,23,349,"High","High","High","M",22,"no"
"8",853,16,136,16,19,16,21,27,24,"Low","Low","Low","M",29,"no"
"9",13240,61,117,64,30,51,87,38,523,"Low","High","Low","M",22,"yes"
"10",21928,80,105,33,27,42,50,21,500,"Low","High","Low","F",53,"yes"
"11",15144,80,100,60,54,79,75,12,431,"Low","High","High","M",26,"no"
"12",15146,87,93,34,50,16,18,21,419,"Low","Low","High","M",50,"no"
"13",5299,66,96,26,41,51,20,34,188,"Low","Low","Low","M",20,"no"
"14",18396,78,97,49,32,40,72,29,483,"Low","High","Low","F",31,"no"
"15",23040,51,104,86,90,41,59,25,503,"Low","High","High","M",24,"no"
"16",937,48,106,6,9,16,7,24,71,"Low","Low","Low","F",39,"no"
"17",23394,41,128,91,89,91,94,55,1100,"High","High","High","M",19,"no"
"18",18600,68,120,62,45,82,85,38,599,"Low","High","High","M",22,"no"
"19",16151,65,77,67,73,39,55,22,415,"Low","High","High","F",24,"no"
"20",19379,52,128,76,75,84,85,45,513,"Low","High","High","F",20,"no"
"21",16491,81,124,32,29,47,38,42,583,"Low","High","Low","M",34,"no"
"22",12348,67,52,75,76,77,66,26,349,"Low","High","High","F",20,"no"
"23",3227,63,117,60,67,16,61,37,80,"Low","Low","High","M",21,"no"
"24",13230,80,100,64,69,45,51,23,361,"Low","High","High","F",22,"no"
"25",13234,59,72,94,90,92,98,15,431,"High","High","High","M",31,"no"
"26",1486,50,116,87,81,89,91,22,62,"Low","High","High","M",23,"no"
"27",13336,87,96,51,62,75,19,23,432,"Low","Low","High","F",20,"no"
"28",6503,87,87,59,64,54,51,24,266,"Low","Low","High","F",32,"no"
"29",14395,59,116,93,95,88,82,32,519,"High","High","High","M",29,"no"
"30",23937,77,112,47,34,54,74,24,701,"Low","High","Low","M",56,"no"
"31",5362,93,104,46,41,81,60,29,181,"Low","Low","Low","F",21,"no"
