duration,acc.death.rider,gender,premium.frequency,risk.state,underwriting.age,living.place,annual.premium,DJIA,surrender,allcause
0.01,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,2.3,2.09,1,1
0.01,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,1.2,1.36,1,1
0.01,NoRider,Male,Annual,NonSmoker,Middle,Other,-0.61,1.06,1,1
0.01,Rider,Male,Other,Smoker,Middle,Other,1.6,1.06,1,1
0.01,NoRider,Female,InfraAnnual,Smoker,Middle,Other,-0.74,1.06,1,1
0.01,Rider,Male,InfraAnnual,NonSmoker,Young,Other,1.09,0.67,1,1
0.01,NoRider,Male,InfraAnnual,NonSmoker,Middle,Other,-0.61,0.09,1,1
0.01,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,1.58,0.92,1,1
0.01,NoRider,Male,Annual,NonSmoker,Middle,Other,-0.35,2.15,1,1
0.01,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,-0.38,2.43,1,1
0.01,Rider,Male,InfraAnnual,Smoker,Young,EastCoast,-0.48,-2.95,1,1
0.01,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,1.19,1.24,1,1
0.01,Rider,Male,InfraAnnual,NonSmoker,Middle,Other,-0.22,0.11,1,1
0.02,NoRider,Female,Annual,Smoker,Young,Other,-0.02,2.09,1,1
0.02,NoRider,Female,InfraAnnual,Smoker,Young,Other,-0.58,2.09,1,1
0.02,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,1.52,1.36,1,1
0.02,NoRider,Female,InfraAnnual,NonSmoker,Middle,EastCoast,-0.96,1.06,1,1
0.02,NoRider,Male,Annual,NonSmoker,Middle,Other,-0.34,1.72,1,1
0.02,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,-0.33,-0.2,1,1
0.02,NoRider,Female,InfraAnnual,Smoker,Middle,Other,-0.45,-0.16,1,1
0.03,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,0.82,2.09,1,1
0.03,Rider,Male,Annual,NonSmoker,Young,Other,-0.43,2.09,1,1
0.03,NoRider,Male,InfraAnnual,Smoker,Middle,Other,-0.19,2.09,1,1
0.03,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,0.18,1.36,1,1
0.03,NoRider,Male,InfraAnnual,NonSmoker,Young,EastCoast,-0.57,1.36,1,1
0.03,NoRider,Female,InfraAnnual,NonSmoker,Middle,Other,0.16,1.97,1,1
0.03,NoRider,Male,InfraAnnual,Smoker,Young,Other,-0.81,1.97,1,1
0.03,Rider,Male,InfraAnnual,NonSmoker,Young,EastCoast,-0.75,0.67,1,1
0.03,Rider,Female,Other,Smoker,Young,Other,-0.76,0.67,1,1
0.03,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,0.64,0.67,1,1
0.03,NoRider,Male,InfraAnnual,Smoker,Young,WestCoast,-0.39,0.09,1,1
0.03,NoRider,Male,Annual,NonSmoker,Middle,Other,-1.01,2.09,1,1
0.03,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,0.57,0.92,1,1
0.03,NoRider,Male,InfraAnnual,NonSmoker,Middle,Other,-0.32,1.87,1,1
0.03,NoRider,Male,InfraAnnual,NonSmoker,Middle,Other,0.03,0.92,1,1
0.03,Rider,Male,Annual,NonSmoker,Middle,Other,-0.52,-0.3,1,1
0.03,NoRider,Female,InfraAnnual,Smoker,Middle,EastCoast,-0.86,1.14,1,1
0.03,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,-0.61,0.45,1,1
0.03,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,-0.7,0.35,1,1
0.03,NoRider,Male,InfraAnnual,Smoker,Young,EastCoast,-0.03,1.42,1,1
0.03,NoRider,Female,InfraAnnual,Smoker,Middle,Other,2.95,-0.54,1,1
0.03,NoRider,Female,InfraAnnual,NonSmoker,Middle,Other,0.16,0.11,1,1
0.03,Rider,Male,Annual,NonSmoker,Middle,Other,-0.77,0.37,1,1
0.04,NoRider,Female,InfraAnnual,NonSmoker,Old,Other,0.91,1.36,1,1
0.04,NoRider,Male,InfraAnnual,NonSmoker,Young,Other,-0.96,1.36,1,1
0.04,NoRider,Male,InfraAnnual,NonSmoker,Young,EastCoast,-0.32,1.36,1,1
0.04,NoRider,Female,InfraAnnual,Smoker,Middle,Other,-1.07,1.36,1,1
0.04,NoRider,Female,InfraAnnual,NonSmoker,Middle,EastCoast,0.46,1.06,1,1
0.04,NoRider,Male,InfraAnnual,Smoker,Old,Other,-0.14,1.97,1,1
0.04,NoRider,Male,Annual,Smoker,Young,Other,-0.68,1.97,1,1
0.04,NoRider,Male,InfraAnnual,NonSmoker,Old,Other,-0.94,0.67,1,1
0.04,NoRider,Male,InfraAnnual,Smoker,Middle,EastCoast,0.22,2.09,1,1
0.04,NoRider,Female,InfraAnnual,Smoker,Old,Other,1.13,2.09,1,1
0.04,NoRider,Female,Annual,NonSmoker,Middle,EastCoast,-0.8,2.15,1,1
0.04,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,-0.65,2.15,1,1
0.04,NoRider,Male,Annual,Smoker,Middle,Other,0.68,1.68,1,1
0.04,NoRider,Female,InfraAnnual,NonSmoker,Young,Other,-0.76,0.49,1,1
0.04,NoRider,Female,InfraAnnual,Smoker,Young,Other,-0.98,0.98,1,1
0.04,NoRider,Female,Other,Smoker,Middle,Other,0.68,-0.66,1,1
0.04,NoRider,Female,Annual,Smoker,Young,Other,1.37,1.24,0,1
0.04,NoRider,Male,InfraAnnual,NonSmoker,Old,Other,0.07,-0.4,1,1
0.05,NoRider,Female,InfraAnnual,NonSmoker,Young,EastCoast,-0.88,1.36,1,1
0.05,NoRider,Female,Other,Smoker,Middle,Other,-0.21,1.36,1,1
